Particulars,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,India,Total,30507215,33214100,35009349,37075386,36926188,39938127,44475476,46310473,48434226,51195106
Secondary School,India,Boy,NA,19495593,20612672,21686880,21277672,22987548,25156258,25996670,26798161,28300738
Secondary School,India,Girl,NA,13718507,14396677,15388506,15648516,16950579,19319218,20313803,21636065,22894368
Secondary School,Andaman and Nicobar Islands,Total,16732,17325,18056,18637,19027,20029,20902,21163,21443,22581
Secondary School,Andaman and Nicobar Islands,Boy,NA,8885,9093,9581,9803,10304,10768,10813,10904,11687
Secondary School,Andaman and Nicobar Islands,Girl,NA,8440,8963,9056,9224,9725,10134,10350,10539,10894
Secondary School,Andhra Pradesh,Total,2445067,2568923,2891478,3160049,3288335,3381462,3468713,3610839,3645313,3719483
Secondary School,Andhra Pradesh,Boy,NA,1487217,1656558,1781072,1823587,1858749,1877017,1914211,1925237,1936068
Secondary School,Andhra Pradesh,Girl,NA,1081706,1234920,1378977,1464748,1522713,1591696,1696628,1720076,1783415
Secondary School,Arunachal Pradesh,Total,34534,37967,39064,41519,42553,47414,50396,52345,55372,59619
Secondary School,Arunachal Pradesh,Boy,NA,22394,22982,24356,24792,26972,27789,28364,29702,31905
Secondary School,Arunachal Pradesh,Girl,NA,15573,16082,17163,17761,20442,22607,23981,25670,27714
Secondary School,Assam,Total,922535,690086,966831,799392,816045,825733,719469,754362,831590,881463
Secondary School,Assam,Boy,NA,372652,563827,459818,468812,474401,394097,416709,445627,478942
Secondary School,Assam,Girl,NA,317434,403004,339574,347233,351332,325372,337653,385963,402521
Secondary School,Bihar,Total,1132960,1230910,1219117,1302984,991956,1561707,1758297,2037615,2403776,3067878
Secondary School,Bihar,Boy,NA,871139,879732,923934,672339,1021597,1132439,1262031,1427261,1791598
Secondary School,Bihar,Girl,NA,359771,339385,379050,319617,540110,625858,775584,976515,1276280
Secondary School,Chandigarh,Total,39756,46038,42224,43191,29080,47619,50329,52762,54524,55645
Secondary School,Chandigarh,Boy,NA,24050,22177,22592,14857,25683,27638,29161,30116,30257
Secondary School,Chandigarh,Girl,NA,21988,20047,20599,14223,21936,22691,23601,24408,25388
Secondary School,Chhattisgarh,Total,569975,558144,656707,699743,710993,670092,690278,1001440,840007,1000850
Secondary School,Chhattisgarh,Boy,NA,351013,407180,424603,421974,391223,402325,553892,467618,538220
Secondary School,Chhattisgarh,Girl,NA,207131,249527,275140,289019,278869,287953,447548,372389,462630
Secondary School,Dadra and Nagar Haveli,Total,5069,5647,6078,7400,7586,7323,9702,8723,9747,11741
Secondary School,Dadra and Nagar Haveli,Boy,NA,3349,3626,4474,4644,4554,5939,5309,5700,6862
Secondary School,Dadra and Nagar Haveli,Girl,NA,2298,2452,2926,2942,2769,3763,3414,4047,4879
Secondary School,Daman and Diu,Total,5747,5572,5367,6259,6390,6832,7492,7613,7940,8218
Secondary School,Daman and Diu,Boy,NA,3149,2973,3430,3401,3634,3813,3941,4113,4390
Secondary School,Daman and Diu,Girl,NA,2423,2394,2829,2989,3198,3679,3672,3827,3828
Secondary School,Delhi,Total,575368,582241,627322,668983,691107,756454,774835,839556,906357,1057792
Secondary School,Delhi,Boy,NA,308205,334272,346082,353620,404398,414159,451990,486975,566251
Secondary School,Delhi,Girl,NA,274036,293050,322901,337487,352056,360676,387566,419382,491541
Secondary School,Goa,Total,61592,60324,61385,61866,60472,62541,64712,65100,64464,63516
Secondary School,Goa,Boy,NA,30883,31414,31529,30478,31552,32598,32674,32692,32498
Secondary School,Goa,Girl,NA,29441,29971,30337,29994,30989,32114,32426,31772,31018
Secondary School,Gujarat,Total,1712132,1717168,1737659,1703681,1759927,1851700,1915887,2116008,2173485,2297431
Secondary School,Gujarat,Boy,NA,1018795,1026156,1012769,1055979,1094320,1127804,1261721,1269177,1334861
Secondary School,Gujarat,Girl,NA,698373,711503,690912,703948,757380,788083,854287,904308,962570
Secondary School,Haryana,Total,876928,930163,907845,883734,872706,968080,1072111,1070939,1303497,1303497
Secondary School,Haryana,Boy,NA,549989,532055,511875,496781,533279,597825,543056,674285,674285
Secondary School,Haryana,Girl,NA,380174,375790,371859,375925,434801,474286,527883,629212,629212
Secondary School,Himachal Pradesh,Total,341078,365662,374276,690449,396337,414477,410591,414283,401049,448717
Secondary School,Himachal Pradesh,Boy,NA,195935,199302,367716,211174,225019,220159,222139,203099,235431
